zeit,zaehlstelle,gesamt
2017-06-04 00:00:00,Olympia,23
2017-06-04 01:00:00,Arnulf,5
2017-06-04 01:00:00,Erhardt,49
2017-06-04 01:00:00,Hirsch,3
2017-06-04 01:00:00,Kreuther,4
2017-06-04 01:00:00,Margareten,30
2017-06-04 01:00:00,Olympia,17
2017-06-04 02:00:00,Arnulf,10
2017-06-04 02:00:00,Erhardt,41
2017-06-04 02:00:00,Hirsch,4
2017-06-04 02:00:00,Kreuther,0
2017-06-04 02:00:00,Margareten,17
2017-06-04 02:00:00,Olympia,7
2017-06-04 03:00:00,Arnulf,1
2017-06-04 03:00:00,Erhardt,22
2017-06-04 03:00:00,Hirsch,1
2017-06-04 03:00:00,Kreuther,1
2017-06-04 03:00:00,Margareten,16
2017-06-04 03:00:00,Olympia,3
2017-06-04 04:00:00,Arnulf,1
2017-06-04 04:00:00,Erhardt,16
2017-06-04 04:00:00,Hirsch,0
2017-06-04 04:00:00,Kreuther,0
2017-06-04 04:00:00,Margareten,6
2017-06-04 04:00:00,Olympia,1
2017-06-04 05:00:00,Arnulf,6
2017-06-04 05:00:00,Erhardt,14
2017-06-04 05:00:00,Hirsch,2
2017-06-04 05:00:00,Kreuther,0
2017-06-04 05:00:00,Margareten,6
2017-06-04 05:00:00,Olympia,2
2017-06-04 06:00:00,Arnulf,7
2017-06-04 06:00:00,Erhardt,7
2017-06-04 06:00:00,Hirsch,6
2017-06-04 06:00:00,Kreuther,0
2017-06-04 06:00:00,Margareten,6
2017-06-04 06:00:00,Olympia,5
2017-06-04 07:00:00,Arnulf,9
2017-06-04 07:00:00,Erhardt,11
2017-06-04 07:00:00,Hirsch,4
2017-06-04 07:00:00,Kreuther,0
2017-06-04 07:00:00,Margareten,12
2017-06-04 07:00:00,Olympia,3
2017-06-04 08:00:00,Arnulf,15
2017-06-04 08:00:00,Erhardt,12
2017-06-04 08:00:00,Hirsch,6
2017-06-04 08:00:00,Kreuther,3
2017-06-04 08:00:00,Margareten,12
2017-06-04 08:00:00,Olympia,8
2017-06-04 09:00:00,Arnulf,11
2017-06-04 09:00:00,Erhardt,23
2017-06-04 09:00:00,Hirsch,5
2017-06-04 09:00:00,Kreuther,6
2017-06-04 09:00:00,Margareten,30
2017-06-04 09:00:00,Olympia,7
2017-06-04 10:00:00,Arnulf,15
2017-06-04 10:00:00,Erhardt,44
2017-06-04 10:00:00,Hirsch,10
2017-06-04 10:00:00,Kreuther,5
2017-06-04 10:00:00,Margareten,42
2017-06-04 10:00:00,Olympia,6
2017-06-04 11:00:00,Arnulf,28
2017-06-04 11:00:00,Erhardt,63
2017-06-04 11:00:00,Hirsch,14
2017-06-04 11:00:00,Kreuther,2
2017-06-04 11:00:00,Margareten,37
2017-06-04 11:00:00,Olympia,23
2017-06-04 12:00:00,Arnulf,13
2017-06-04 12:00:00,Erhardt,104
2017-06-04 12:00:00,Hirsch,22
2017-06-04 12:00:00,Kreuther,5
2017-06-04 12:00:00,Margareten,61
2017-06-04 12:00:00,Olympia,27
2017-06-04 13:00:00,Arnulf,27
2017-06-04 13:00:00,Erhardt,92
2017-06-04 13:00:00,Hirsch,31
2017-06-04 13:00:00,Kreuther,1
2017-06-04 13:00:00,Margareten,52
2017-06-04 13:00:00,Olympia,60
2017-06-04 14:00:00,Arnulf,40
2017-06-04 14:00:00,Erhardt,164
2017-06-04 14:00:00,Hirsch,40
2017-06-04 14:00:00,Kreuther,2
2017-06-04 14:00:00,Margareten,58
2017-06-04 14:00:00,Olympia,79
2017-06-04 15:00:00,Arnulf,39
2017-06-04 15:00:00,Erhardt,165
2017-06-04 15:00:00,Hirsch,58
2017-06-04 15:00:00,Kreuther,11
2017-06-04 15:00:00,Margareten,72
2017-06-04 15:00:00,Olympia,82
2017-06-04 16:00:00,Arnulf,54
2017-06-04 16:00:00,Erhardt,167
2017-06-04 16:00:00,Hirsch,45
2017-06-04 16:00:00,Kreuther,7
2017-06-04 16:00:00,Margareten,81
2017-06-04 16:00:00,Olympia,128
2017-06-04 17:00:00,Arnulf,47
2017-06-04 17:00:00,Erhardt,232
2017-06-04 17:00:00,Hirsch,48
2017-06-04 17:00:00,Kreuther,10
2017-06-04 17:00:00,Margareten,98
2017-06-04 17:00:00,Olympia,229
2017-06-04 18:00:00,Arnulf,56
2017-06-04 18:00:00,Erhardt,228
2017-06-04 18:00:00,Hirsch,87
2017-06-04 18:00:00,Kreuther,9
2017-06-04 18:00:00,Margareten,123
2017-06-04 18:00:00,Olympia,216
2017-06-04 19:00:00,Arnulf,55
2017-06-04 19:00:00,Erhardt,222
2017-06-04 19:00:00,Hirsch,62
2017-06-04 19:00:00,Kreuther,13
2017-06-04 19:00:00,Margareten,125
2017-06-04 19:00:00,Olympia,228
2017-06-04 20:00:00,Arnulf,39
2017-06-04 20:00:00,Erhardt,172
2017-06-04 20:00:00,Hirsch,56
2017-06-04 20:00:00,Kreuther,12
2017-06-04 20:00:00,Margareten,110
2017-06-04 20:00:00,Olympia,207
2017-06-04 21:00:00,Arnulf,31
2017-06-04 21:00:00,Erhardt,118
2017-06-04 21:00:00,Hirsch,26
2017-06-04 21:00:00,Kreuther,7
2017-06-04 21:00:00,Margareten,61
2017-06-04 21:00:00,Olympia,163
2017-06-04 22:00:00,Arnulf,18
2017-06-04 22:00:00,Erhardt,90
2017-06-04 22:00:00,Hirsch,20
2017-06-04 22:00:00,Kreuther,2
2017-06-04 22:00:00,Margareten,46
2017-06-04 22:00:00,Olympia,149
2017-06-04 23:00:00,Arnulf,14
2017-06-04 23:00:00,Erhardt,67
2017-06-04 23:00:00,Hirsch,7
2017-06-04 23:00:00,Kreuther,0
2017-06-04 23:00:00,Margareten,40
2017-06-04 23:00:00,Olympia,65
2017-06-05 00:00:00,Arnulf,13
2017-06-05 00:00:00,Erhardt,31
2017-06-05 00:00:00,Hirsch,4
2017-06-05 00:00:00,Kreuther,1
2017-06-05 00:00:00,Margareten,24
2017-06-05 00:00:00,Olympia,10
2017-06-05 01:00:00,Arnulf,8
2017-06-05 01:00:00,Erhardt,63
2017-06-05 01:00:00,Hirsch,4
2017-06-05 01:00:00,Kreuther,5
2017-06-05 01:00:00,Margareten,15
2017-06-05 01:00:00,Olympia,6
2017-06-05 02:00:00,Arnulf,5
2017-06-05 02:00:00,Erhardt,35
2017-06-05 02:00:00,Hirsch,2
2017-06-05 02:00:00,Kreuther,2
2017-06-05 02:00:00,Margareten,9
2017-06-05 02:00:00,Olympia,3
2017-06-05 03:00:00,Arnulf,8
2017-06-05 03:00:00,Erhardt,22
2017-06-05 03:00:00,Hirsch,1
2017-06-05 03:00:00,Kreuther,2
2017-06-05 03:00:00,Margareten,4
2017-06-05 03:00:00,Olympia,1
2017-06-05 04:00:00,Arnulf,2
2017-06-05 04:00:00,Erhardt,15
2017-06-05 04:00:00,Hirsch,0
2017-06-05 04:00:00,Kreuther,0
2017-06-05 04:00:00,Margareten,7
2017-06-05 04:00:00,Olympia,0
2017-06-05 05:00:00,Arnulf,8
2017-06-05 05:00:00,Erhardt,11
2017-06-05 05:00:00,Hirsch,1
2017-06-05 05:00:00,Kreuther,0
2017-06-05 05:00:00,Margareten,3
2017-06-05 05:00:00,Olympia,4
2017-06-05 06:00:00,Arnulf,5
2017-06-05 06:00:00,Erhardt,13
2017-06-05 06:00:00,Hirsch,7
2017-06-05 06:00:00,Kreuther,1
2017-06-05 06:00:00,Margareten,5
2017-06-05 06:00:00,Olympia,1
2017-06-05 07:00:00,Arnulf,11
2017-06-05 07:00:00,Erhardt,25
2017-06-05 07:00:00,Hirsch,6
2017-06-05 07:00:00,Kreuther,3
2017-06-05 07:00:00,Margareten,11
2017-06-05 07:00:00,Olympia,4
2017-06-05 08:00:00,Arnulf,13
2017-06-05 08:00:00,Erhardt,28
2017-06-05 08:00:00,Hirsch,1
2017-06-05 08:00:00,Kreuther,2
2017-06-05 08:00:00,Margareten,26
2017-06-05 08:00:00,Olympia,14
2017-06-05 09:00:00,Arnulf,16
2017-06-05 09:00:00,Erhardt,38
2017-06-05 09:00:00,Hirsch,6
2017-06-05 09:00:00,Kreuther,2
2017-06-05 09:00:00,Margareten,29
2017-06-05 09:00:00,Olympia,6
2017-06-05 10:00:00,Arnulf,22
2017-06-05 10:00:00,Erhardt,67
2017-06-05 10:00:00,Hirsch,19
2017-06-05 10:00:00,Kreuther,3
2017-06-05 10:00:00,Margareten,64
2017-06-05 10:00:00,Olympia,47
2017-06-05 11:00:00,Arnulf,46
2017-06-05 11:00:00,Erhardt,118
2017-06-05 11:00:00,Hirsch,28
2017-06-05 11:00:00,Kreuther,7
2017-06-05 11:00:00,Margareten,76
2017-06-05 11:00:00,Olympia,63
2017-06-05 12:00:00,Arnulf,52
2017-06-05 12:00:00,Erhardt,171
2017-06-05 12:00:00,Hirsch,70
2017-06-05 12:00:00,Kreuther,13
2017-06-05 12:00:00,Margareten,111
2017-06-05 12:00:00,Olympia,84
2017-06-05 13:00:00,Arnulf,60
2017-06-05 13:00:00,Erhardt,241
2017-06-05 13:00:00,Hirsch,62
2017-06-05 13:00:00,Kreuther,17
2017-06-05 13:00:00,Margareten,98
2017-06-05 13:00:00,Olympia,178
2017-06-05 14:00:00,Arnulf,65
2017-06-05 14:00:00,Erhardt,351
2017-06-05 14:00:00,Hirsch,103
2017-06-05 14:00:00,Kreuther,21
2017-06-05 14:00:00,Margareten,144
2017-06-05 14:00:00,Olympia,211
2017-06-05 15:00:00,Arnulf,61
2017-06-05 15:00:00,Erhardt,341
2017-06-05 15:00:00,Hirsch,110
2017-06-05 15:00:00,Kreuther,30
2017-06-05 15:00:00,Margareten,165
2017-06-05 15:00:00,Olympia,245
